"Site","Tag","Array","Genotype","NurseyGroup","FragID","T0_Method","T0_TLE","T0_NumBranch","T0_SA","T0_V","T0_Vcx","T0_SAcx","T3_Status","T3_TLE","T3_NumBranch","T3_SA","T3_V","T3_Vcx","T3_SAcx","T6_Status","T6_TLE","T6_NumBranch","T6_SA","T6_V","T6_Vcx","T6_SAcx","T9_Status","T9_TLE","T9_NumBranch","T9_SA","T9_V","T9_Vcx","T9_SAcx","T12_Status","T12_TLE","T12_NumBranch","T12_SA","T12_V","T12_Vcx","T12_SAcx","T3_Break","T6_Break","T9_Break","T12_Break","T12_Dead","T12_TOD","SevereBreak","CulumativeBreaks","X","T0_FieldTLE","T6_FieldTLE","T0_Vinter","T3_Vinter","T6_Vinter","T9_Vinter","T12_Vinter"
"Big Pine","15","2","7","3","8","3D",9.158,NA,34.737,5.983,16.657,39.966,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"",10.2,NA,10.674,NA,NA,NA,NA
"Big Pine","16","2","3","2","8","3D",10.321,NA,41.352,10.505,23.152,51.143,"A",22.254,9,72.829,19.811,79.08,108.227,"A",9.19,5,39.679,14.311,36.268,64.937,"A",12.252,8,42.953,12.967,39.873,66.089,"A",28.833,17,95.691,24.808,116.337,127.735,0,1,0,0,0,13,"",1,"",11.1,10.6,12.647,59.269,21.957,26.906,91.529
"Big Pine","17","2","13","4","8","3D",5.995,NA,24.358,4.997,8.816,28.459,"A",0.766,1,8.009,1.937,2.771,13.693,"A",1.284,1,9.797,2.741,3.984,17.811,"A",4.528,5,15.714,4.672,8.287,25.229,"A",9.682,7,23.277,4.594,12.753,30.096,1,0,0,0,0,13,"",1,"",7.8,2.2,3.819,0.834,1.243,3.615,8.159
"Big Pine","18","2","1","1","9","3D",17.67,NA,50.871,12.05,41.518,67.934,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"",15.1,NA,29.468,NA,NA,NA,NA
"Big Pine","19","2","41","7","7","3D",10.294,NA,40.129,9.092,22.558,49.908,"A",0.518,1,2.695,0.885,1.07,6.804,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,6,"p",1,"",11.2,NA,13.466,0.185,NA,NA,NA
"Big Pine","20","2","62","10","7","3D",10.656,NA,39.776,9.606,25.139,52.099,"A",16.541,8,53.654,12.694,44.346,72.532,"A",0.869,1,10.679,2.696,3.742,19.073,"A",0.946,1,12.579,3.941,4.6,20.499,"A",6.237,7,23.55,5.93,13.044,35.054,0,1,0,0,0,13,"",1,"",10.8,1.4,15.533,31.652,1.046,0.659,7.114
"Big Pine","21","3","31","5","7","3D",3.625,NA,14.589,3.041,5.434,18.726,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,"",10.2,NA,2.393,NA,NA,NA,NA
"Big Pine","22","3","44","8","11","3D",7.812,NA,40.744,15.772,24.198,51.178,"A",13.856,7,59.624,12.642,44.871,75.088,"A",21.007,7,81.432,20.832,112.144,131.727,"A",25.63,12,98.461,31.724,163.19,166.596,"A",24.193,13,86.449,29.553,126.628,143.155,0,0,0,0,0,13,"",0,"",8.8,16.8,8.426,32.229,91.312,131.466,97.075
"Big Pine","23","3","13","4","9","3D",7.766,NA,27.652,4.934,16.312,39.955,"A",2.149,2,10.624,2.627,4.392,15.575,"A",4.162,2,18.796,4.921,9.506,25.939,"A",8.605,7,29.454,9.056,20.291,42.414,"A",15.646,11,38.26,8.276,27.032,48.02,1,0,0,0,0,13,"b",1,"",8.5,8.1,11.378,1.765,4.585,11.235,18.756
"Big Pine","24","3","41","7","8","3D",7.183,NA,24.576,4.465,11.179,30.557,"A",0.826,1,5.965147,1.253801,1.774375,9.252314,"A",1.226,1,9.548,3.053,3.728,16.886,"A",1.279,1,13.532,4.156,6.796,23.842,"A",4.022,4,13.371,2.757,5.746,20.613,1,0,0,0,0,13,"b",1,"",8,2.4,6.714,0.520574,0.675,2.64,2.989
